resource_profile,cpu_cores,batch_size,zero_day_detection_rate,false_positive_rate,f1,precision,recall,latency_seconds,peak_memory_mb
Unconstrained (gateway-class),28,unbatched,0.06764069264069264,0.09975,0.10114291493880853,0.20040080160320642,0.06764069264069264,0.020593399996869266,0.4856071472167969
Mid-tier device,2,1000,0.06764069264069264,0.09975,0.10114291493880853,0.20040080160320642,0.06764069264069264,0.010070000076666474,0.4456043243408203
Constrained sensor,1,100,0.06764069264069264,0.09975,0.10114291493880853,0.20040080160320642,0.06764069264069264,0.09304450009949505,0.4457588195800781
