resource_profile,cpu_cores,batch_size,zero_day_detection_rate,false_positive_rate,f1,precision,recall,latency_seconds,peak_memory_mb
Unconstrained (gateway-class),28,unbatched,0.6636904761904762,0.0999,0.6863458310016788,0.7106025492468134,0.6636904761904762,1.599893500097096,37.879584312438965
Mid-tier device,2,1000,0.6636904761904762,0.0999,0.6863458310016788,0.7106025492468134,0.6636904761904762,4.207906999974512,2.5770692825317383
Constrained sensor,1,100,0.6636904761904762,0.0999,0.6863458310016788,0.7106025492468134,0.6636904761904762,36.58058569999412,2.4746360778808594
