resource_profile,cpu_cores,batch_size,zero_day_detection_rate,false_positive_rate,f1,precision,recall,latency_seconds,peak_memory_mb
Unconstrained (gateway-class),28,unbatched,0.5718344155844156,0.09915,0.6215262461402735,0.6806763285024154,0.5718344155844156,0.16440000000875443,14.877037048339844
Mid-tier device,2,1000,0.5718344155844156,0.09915,0.6215262461402735,0.6806763285024154,0.5718344155844156,0.5120626999996603,0.9571533203125
Constrained sensor,1,100,0.5718344155844156,0.09915,0.6215262461402735,0.6806763285024154,0.5718344155844156,5.037193899974227,0.7320632934570312
