resource_profile,cpu_cores,batch_size,zero_day_detection_rate,false_positive_rate,f1,precision,recall,latency_seconds,peak_memory_mb
Unconstrained (gateway-class),28,unbatched,0.40070346320346323,0.1022,0.47781900306501046,0.5916899720335598,0.40070346320346323,0.11610260000452399,8.800594329833984
Mid-tier device,2,1000,0.40070346320346323,0.1022,0.47781900306501046,0.5916899720335598,0.40070346320346323,0.6195620000362396,0.7386674880981445
Constrained sensor,1,100,0.40070346320346323,0.1022,0.47781900306501046,0.5916899720335598,0.40070346320346323,6.177369999932125,0.6114616394042969
